桜井二見ケ浦,819-1304 福岡県糸島市志摩桜井,朝日の伊勢二見ケ浦に対し夕日の二見ケ浦とも呼ばれる、県指定の名勝です。海上にしめ縄で結ばれた夫婦岩が仲良く並んでいます。日本の渚百選、日本の夕日百選。
白糸の滝,819-1154 福岡県糸島市白糸460-1,落差２４ｍ。真っ白な飛沫を上げてとうとうと流れ落ちるさまは、圧巻。県指定の名勝であり、周囲には樹齢三百年以上といわれる萬龍楓(ばんりゅうかえで）（県指定天然記念物）が自生。前面に玄界灘を望む。また「ふれあいの里」でソーメン流しや郷土料理を楽しむこともできる。
芥屋の大門,819-1335 福岡県糸島市志摩芥屋,糸島市の北西端にある芥屋の大門は高さ64ｍ、奥行90ｍ、幅10ｍの巨大な洞窟で、日本三大玄武洞の1つに指定されています
芥屋海水浴場,819-1335 福岡県糸島市志摩芥屋,福岡県で唯一環境省が認定した「日本の快水浴場100選」に選ばれた海水浴場。海の家が4軒あり、近くにはキャンプ場もある。7月下旬には花火大会も行われる。
姉子の浜 鳴き砂,819-1642 福岡県糸島市二丈鹿家,玄海灘の荒波によって形成された浅瀬の白浜海岸で、九州でも珍しい鳴き砂海岸です。弓状に広がり夕日の美しい場所でも知られています。
志摩物産直売所「志摩の四季」,819-1311 福岡県糸島市志摩津和崎33-1,地元でとれた新鮮で活きのいい魚や農産物、手作り弁当や饅頭、手の温もりが伝わる様な作品等など安い!と定評があります。お食事処もあり、海鮮丼なども堪能することができます。
フォレストアドベンチャー・糸島,819-1622 福岡県糸島市二丈一貴山312-390,2012年7月21日オープン！待望の九州初のフォレストアドベンチャーです。フォレストアドベンチャーとは専用のハーネスを装着して、森の樹から樹へ空中移動していくフランス発祥のアウトドアパークです。
芥屋ゴルフ倶楽部,819-1335 福岡県糸島市芥屋1-1,ゴルフ場
雷山千如寺大悲王院,819-1145 福岡県糸島市雷山626,この寺院は「千如寺」と「大悲王院」に分かれ、千如寺は725年、聖武天皇の勅願を受けて清賀上人によって開山された。御本尊は巨大な「木造千手観音立像」（国指定重要文化財）。
神水まむし温泉,819-1641 福岡県糸島郡二丈町吉井2380ー1,弘法大師が霊力でまむしの毒に効く薬水にしたというのがその名の由来。疲労回復や皮膚炎、美顔、アトピーなどに効くそう。
宇美八幡宮,819-1155 福岡県糸島市川付787,神功皇后の三韓渡航の間に於ける仲哀天皇仮埋葬の地。古名を長野八幡宮ともいう。長岳山にあり、上宮は周囲800mの円形山陵で頂きに石祠がある。
姫島,819-1336 福岡県糸島市志摩姫島,玄海灘に浮かぶ孤島で、周囲3.8Ｋの島です。岐志から１日４往復、１６分の渡船がでており、民宿では玄海灘の活きのいい新鮮な海鮮料理が楽しめます。
二丈温泉「きららの湯」,819-1601 福岡県糸島市二丈深江598-1,観光
笹山公園,819-1113 福岡県糸島市前原駅南2丁目,桜の名所約800本、自然林も多く残っており、付近を散策したり野生の鳥を観察しながら一日中のんびり過ごせます。
加茂ゆらりんこ橋,819-1631 福岡県糸島市二丈福井,加茂川の上流にかかる全長100m、高さ20m、巾1.2mのつり橋。二丈渓谷遊歩道に続いています。
桜井神社（岩戸宮）,819-1304 福岡県糸島市志摩桜井4227,歴代黒田藩主の崇敬社。“与止妃宮（ヨドヒメグウ）”とも称され桜井二見ケ浦が近い。
ファームハウス,819-1304 福岡県糸島市志摩桜井5134-1,福岡糸島の自然の中で農業体験　ブルーベリー狩り７月１５日〜８月３１日（完売次第終了）いもほり１０月１日〜１１月３０日（完売次第終了）バーベキュー通年。
雷山,819-1145 福岡県糸島市雷山,山頂から糸島半島、玄界灘が一望。雷山観音、雷神社、自然歩道がある。雷山は、かつて全山に308の僧房が栄えた真言の密教道場であったと言われている。
喜八荘,819-1641 福岡県糸島郡二丈町吉井3504-1,玄界灘の海岸線を走る国道２０２号沿いに位置する旅館。海に面した露天風呂は、姉子浜を西に望み、玄海を一望できる絶景風呂。
糸島市農業公園「ファームパーク伊都国」,819-1571 福岡県糸島市高祖747-1,ファームパーク伊都国は、都市と農村の交流拠点です。
深江海水浴場,819-1601 福岡県糸島市二丈深江,長さ700mの砂浜は、遠浅で夏は海水浴場として小さな子どもから大人まで安心して泳ぐことができる。
恵水窯,819-1303 福岡県糸島市志摩野北4146の2,陶芸体験
可也山（糸島富士）,819-1301 福岡県糸島市志摩師吉,山頂には神武天皇を祭った「可也神社」がある。頂上からは玄界灘も望め、四季を通し自然の移り変わりが楽しめます。
芥屋の大門遊覧船,819-1335 福岡県糸島郡志摩町芥屋520,昭和41年に天然記念物に指定、日本三大玄武洞の一つで最大の物である芥屋の大門を遊覧。玄界灘の荒波にささえられてできた自然のオブジェ。六角形や八角形の柱状節理が美しい。
高祖山,819-1571 福岡県糸島市高祖,国指定の史跡「怡土城跡」を始め、一の坂礎石群、望楼跡など、全山に史跡が点在する。
幣の浜,819-1323 福岡県糸島市志摩芥屋,野北海岸から芥屋の大門まで6キロにおよぶ，青い海と砂丘と松林が続く弓状海岸。玄界灘の彼方に壱岐・対馬が見える。玄海灘を沈む夕日はとても美しく幻想的です。
徳栄丸,819-1334 福岡県糸島市志摩岐志778-5,【冬季限定　糸島！　漁師のカキ小屋　徳栄丸です(^o^)／】新鮮なカキはもちろん！　サイドメニューの充実に自信があります。
平原歴史公園,819-1132 福岡県糸島市有田,糸島市有田にある平原遺跡は、弥生時代の伊都国王の墓と考えられています。昭和40年に行われた発掘調査で、銅鏡40面や勾玉などの出土品が多数出土しました。
雷神社,819-1145　福岡県糸島市雷山148,雷神社に多くの巨木が残り、なかでも、２本の観音杉はいずれも樹齢1,000年を越え、根周りが12ｍから17ｍの大きさを誇ります。
のぶりん,819-1334 福岡県糸島市志摩岐志751-4,牡蠣小屋
井原山,819-1581 福岡県糸島市瑞梅寺,脊振山系で２番目に高い井原山。ＪＲ筑前前原駅からコミュニティバスで井原山入口まで行き、バス停の2キロ先から始まる井原山自然歩道を登ると標高983メートルの井原山に到達。
ザ・クイーンズヒルゴルフクラブ,819-1133 福岡県糸島市富838,観光
羽金山,819-1154 佐賀県佐賀市上無津呂,玄界灘方面の眺望はすばらしい。謎の十万両の言い伝えがある。
タビノキセキ,819-1323 福岡県糸島市志摩小金丸1870-11,アクセサリー作り
志摩町歴史資料館,819-1312 福岡県糸島郡志摩町初1番地,埋蔵文化財を中心に「海」を基本とした8つのテーマを設けて、志摩町が培ってきた歴史をわかりやすく展示している。
ひろちゃんカキ,819-1124 福岡県糸島市加布里1105-6,バーベキュー
伊都国歴史博物館,819-1582 福岡県糸島市井原916,伊都国歴史博物館は糸島地方の歴史が良くわかるように、糸島市から出土した品々を中心に多数の考古資料を展示しています。
ファームリゾート糸島,819-1323 福岡県糸島市志摩小金丸1738,海外の農園をイメージした自然の中の複合リゾートカフェ。
